Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
AXP;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
LRCX;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
RTX;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa
CRM;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
PM;Consumo não Cíclico;Agropecuária;Agricultura
TMO;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
AMAT;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
TMUS;Comunicações;Telecomunicações;Telecomunicações
ABT;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
C;Financeiro e Outros;Intermediários Financeiros;Bancos
MCD;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares
APP;Bens Industriais;Material de Transporte;Material Rodoviário
ISRG;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
LIN;Materiais Básicos;Químicos;Químicos Diversos
INTC;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
DIS;Consumo Cíclico;Viagens e Lazer;Viagens e Turismo
QCOM;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
PEP;Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes
SCHW;Financeiro e Outros;Intermediários Financeiros;Bancos
AMGN;Tecnologia da Informação;Biotecnologia;Biotecnologia
INTU;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
BA;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa
UBER;Bens Industriais;Serviços;Serviços Diversos
KLAC;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
BKNG;Bens Industriais;Transporte;Logística
TJX;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
APH;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
T;Comunicações;Telecomunicações;Telecomunicações
TXN;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
VZ;Comunicações;Telecomunicações;Telecomunicações
ACN;Bens Industriais;Serviços;Serviços Diversos
BLK;Financeiro e Outros;Intermediários Financeiros;Bancos
DHR;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
ANET;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
SPGI;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
NEE;Utilidade Pública;Energia Elétrica;Energia Elétrica
COF;Financeiro e Outros;Intermediários Financeiros;Bancos
NOW;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
GILD;Tecnologia da Informação;Biotecnologia;Biotecnologia
BSX;Saúde;Equipamentos;Equipamentos
PFE;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
ADI;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
ADBE;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
SYK;Saúde;Equipamentos;Equipamentos
LOW;Bens Industriais;Construção e Engenharia;Produtos para Construção
PANW;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
UNP;Bens Industriais;Transporte;Transporte Ferroviário
DE;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
MDT;Tecnologia da Informação;Biotecnologia;Biotecnologia
HON;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa
ETN;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
PGR;Financeiro e Outros;Previdência e Seguros;Seguradoras
VRTX;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
CRWD;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
CB;Financeiro e Outros;Previdência e Seguros;Seguradoras
BX;Financeiro e Outros;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
KKR;Financeiro e Outros;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
LMT;Bens Industriais;Máquinas e Equipamentos;Armas e Munições
NEM;Materiais Básicos;Mineração;Minerais Metálicos
COP;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
PH;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
BMY;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
HCA;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
HOOD;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
CEG;Bens Industriais;Comércio;Material de Transporte
ADP;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
CVS;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
